waktu,brand,retail,production,sale
2021-01-01,DAIHATSU,9528,8988,8993
2021-01-01,HONDA,7068,7180,7231
2021-01-01,MITSUBISHI,8857,12779,9108
2021-01-01,SUZUKI,6192,10098,6400
2021-01-01,TOYOTA,15292,32469,15474
2021-02-01,DAIHATSU,8414,10747,9412
2021-02-01,HONDA,6018,6912,6812
2021-02-01,MITSUBISHI,8182,11904,7567
2021-02-01,SUZUKI,5132,8428,4600
2021-02-01,TOYOTA,12537,34405,14861
2021-03-01,DAIHATSU,12368,15076,16770
2021-03-01,HONDA,10048,10539,11350
2021-03-01,MITSUBISHI,11592,19037,13088
2021-03-01,SUZUKI,8179,12142,8669
2021-03-01,TOYOTA,26445,38643,26160
2021-04-01,DAIHATSU,13673,15752,15861
2021-04-01,HONDA,10189,7935,8474
2021-04-01,MITSUBISHI,12669,16218,13820
2021-04-01,SUZUKI,7575,10322,8100
2021-04-01,TOYOTA,25902,35573,22863
2021-05-01,DAIHATSU,10735,8252,8310
2021-05-01,HONDA,8538,5208,5832
2021-05-01,MITSUBISHI,9598,11242,10160
2021-05-01,SUZUKI,6578,6977,5341
2021-05-01,TOYOTA,21117,25925,17687
2021-06-01,DAIHATSU,12514,15446,15481
2021-06-01,HONDA,7578,9759,8782
2021-06-01,MITSUBISHI,10981,14892,8277
2021-06-01,SUZUKI,7272,11177,8965
2021-06-01,TOYOTA,19392,40035,22833
2021-07-01,DAIHATSU,10170,9282,9284
2021-07-01,HONDA,8234,8263,9030
2021-07-01,MITSUBISHI,11323,12058,13453
2021-07-01,SUZUKI,6508,8191,6274
2021-07-01,TOYOTA,21933,30601,21270
2021-08-01,DAIHATSU,12199,14408,14408
2021-08-01,HONDA,7341,7108,7337
2021-08-01,MITSUBISHI,11200,18170,13720
2021-08-01,SUZUKI,9013,11396,10021
2021-08-01,TOYOTA,28169,43018,29177
2021-09-01,DAIHATSU,14187,17297,17529
2021-09-01,HONDA,3362,3002,3453
2021-09-01,MITSUBISHI,12320,16480,12200
2021-09-01,SUZUKI,7355,12869,7515
2021-09-01,TOYOTA,26454,45295,33548
2021-10-01,DAIHATSU,14301,16932,17020
2021-10-01,HONDA,6104,5852,5861
2021-10-01,MITSUBISHI,12174,15139,13109
2021-10-01,SUZUKI,6819,10363,7624
2021-10-01,TOYOTA,28367,40634,21311
2021-11-01,DAIHATSU,14861,15616,16045
2021-11-01,HONDA,7005,8016,7201
2021-11-01,MITSUBISHI,12437,16759,11410
2021-11-01,SUZUKI,8714,12825,8512
2021-11-01,TOYOTA,30651,48058,32935
2021-12-01,DAIHATSU,18157,16023,15795
2021-12-01,HONDA,9908,10301,9759
2021-12-01,MITSUBISHI,17449,18029,18211
2021-12-01,SUZUKI,10259,12944,9772
2021-12-01,TOYOTA,34240,50778,31955
2022-01-01,DAIHATSU,17506,18095,17660
2022-01-01,HONDA,7727,10318,10883
2022-01-01,MITSUBISHI,13517,18526,14586
2022-01-01,SUZUKI,7465,11926,7017
2022-01-01,TOYOTA,22906,48414,22493
2022-02-01,DAIHATSU,13122,15037,14638
2022-02-01,HONDA,8478,12066,11407
2022-02-01,MITSUBISHI,12685,16736,12323
2022-02-01,SUZUKI,6000,11259,6750
2022-02-01,TOYOTA,21187,46145,24087
2022-03-01,DAIHATSU,16318,17464,16969
2022-03-01,HONDA,9554,12441,12975
2022-03-01,MITSUBISHI,13684,18941,13299
2022-03-01,SUZUKI,7765,14160,8604
2022-03-01,TOYOTA,30935,59156,32408
2022-04-01,DAIHATSU,15401,15539,15533
2022-04-01,HONDA,10289,9863,10149
2022-04-01,MITSUBISHI,13192,5552,12340
2022-04-01,SUZUKI,6508,10341,5801
2022-04-01,TOYOTA,25789,47033,27284
2022-05-01,DAIHATSU,11364,6978,6981
2022-05-01,HONDA,7758,8145,8114
2022-05-01,MITSUBISHI,9115,8974,6729
2022-05-01,SUZUKI,6316,10118,6026
2022-05-01,TOYOTA,18000,26952,12984
2022-06-01,DAIHATSU,17054,16827,16764
2022-06-01,HONDA,10104,9013,9057
2022-06-01,MITSUBISHI,10925,14836,7890
2022-06-01,SUZUKI,7006,13641,7215
2022-06-01,TOYOTA,27385,49489,26838
2022-07-01,DAIHATSU,16268,15875,15673
2022-07-01,HONDA,10523,9233,9599
2022-07-01,MITSUBISHI,9155,19088,11756
2022-07-01,SUZUKI,6771,11927,7467
2022-07-01,TOYOTA,26502,47740,28829
2022-08-01,DAIHATSU,16551,15211,15282
2022-08-01,HONDA,10983,10579,11427
2022-08-01,MITSUBISHI,11095,20478,13808
2022-08-01,SUZUKI,7816,12947,8064
2022-08-01,TOYOTA,29996,56488,30103
2022-09-01,DAIHATSU,17310,18602,18472
2022-09-01,HONDA,12977,13300,13374
2022-09-01,MITSUBISHI,10336,18843,9461
2022-09-01,SUZUKI,7902,11055,7651
2022-09-01,TOYOTA,31190,59372,32760
2022-10-01,DAIHATSU,16433,17290,17089
2022-10-01,HONDA,11590,10185,9962
2022-10-01,MITSUBISHI,9550,15755,9188
2022-10-01,SUZUKI,7605,11230,7663
2022-10-01,TOYOTA,30217,59012,33153
2022-11-01,DAIHATSU,15122,20915,20496
2022-11-01,HONDA,12137,12629,11691
2022-11-01,MITSUBISHI,11032,18796,10704
2022-11-01,SUZUKI,8218,12041,8160
2022-11-01,TOYOTA,28031,49184,25670
2022-12-01,DAIHATSU,16211,24125,23165
2022-12-01,HONDA,13291,13326,12642
2022-12-01,MITSUBISHI,12047,14891,14654
2022-12-01,SUZUKI,9695,10590,9990
2022-12-01,TOYOTA,37360,53434,26935
2023-01-01,DAIHATSU,22053,17782,12684
2023-01-01,HONDA,11018,15666,15287
2023-01-01,MITSUBISHI,11586,18491,9831
2023-01-01,SUZUKI,8083,11173,5768
2023-01-01,TOYOTA,25555,54533,26696
2023-02-01,DAIHATSU,17013,16187,10970
2023-02-01,HONDA,12069,13798,13903
2023-02-01,MITSUBISHI,10776,17044,8513
2023-02-01,SUZUKI,6922,10628,6197
2023-02-01,TOYOTA,25250,51149,24911
2023-03-01,DAIHATSU,18501,19754,13637
2023-03-01,HONDA,14614,15593,15993
2023-03-01,MITSUBISHI,11670,19535,9174
2023-03-01,SUZUKI,7634,12014,7512
2023-03-01,TOYOTA,30008,51208,25678
2023-04-01,DAIHATSU,14001,10690,7596
2023-04-01,HONDA,8246,6021,4673
2023-04-01,MITSUBISHI,7933,10721,6216
2023-04-01,SUZUKI,4918,6038,4363
2023-04-01,TOYOTA,24134,30537,18134
2023-05-01,DAIHATSU,15625,15980,10712
2023-05-01,HONDA,11391,10319,10580
2023-05-01,MITSUBISHI,9739,18083,6364
2023-05-01,SUZUKI,6868,10900,5402
2023-05-01,TOYOTA,25791,47765,22004
2023-06-01,DAIHATSU,15322,18101,10917
2023-06-01,HONDA,10459,11647,11080
2023-06-01,MITSUBISHI,8899,16633,6200
2023-06-01,SUZUKI,6808,10214,7227
2023-06-01,TOYOTA,26092,42795,20326
2023-07-01,DAIHATSU,15373,15805,8611
2023-07-01,HONDA,9009,11612,10160
2023-07-01,MITSUBISHI,7647,17628,6539
2023-07-01,SUZUKI,6305,9749,5139
2023-07-01,TOYOTA,25908,51381,23954
2023-08-01,DAIHATSU,16335,17450,9568
2023-08-01,HONDA,10050,12554,10916
2023-08-01,MITSUBISHI,10779,16572,8243
2023-08-01,SUZUKI,7040,8979,5980
2023-08-01,TOYOTA,28104,52696,25088
2023-09-01,DAIHATSU,15402,15007,8594
2023-09-01,HONDA,10170,10580,10588
2023-09-01,MITSUBISHI,9052,14330,7036
2023-09-01,SUZUKI,6342,7569,5860
2023-09-01,TOYOTA,26600,49928,21017
2023-10-01,DAIHATSU,14646,14092,8208
2023-10-01,HONDA,9611,10780,11307
2023-10-01,MITSUBISHI,7948,15005,6690
2023-10-01,SUZUKI,6732,8504,5502
2023-10-01,TOYOTA,28003,53065,21298
2023-11-01,DAIHATSU,14752,13524,7466
2023-11-01,HONDA,10165,9768,10307
2023-11-01,MITSUBISHI,9231,14019,6600
2023-11-01,SUZUKI,6471,7592,6602
2023-11-01,TOYOTA,29125,54443,24622
2023-12-01,DAIHATSU,15085,12805,7178
2023-12-01,HONDA,11208,5424,7955
2023-12-01,MITSUBISHI,9815,8457,6001
2023-12-01,SUZUKI,8121,6766,6653
2023-12-01,TOYOTA,30825,49762,24897
2024-01-01,DAIHATSU,16976,14381,7348
2024-01-01,HONDA,10019,8415,3222
2024-01-01,MITSUBISHI,8644,16366,5076
2024-01-01,SUZUKI,6503,6895,3242
2024-01-01,TOYOTA,24686,45381,10385
2024-02-01,DAIHATSU,14819,15100,6020
2024-02-01,HONDA,9019,8347,3829
2024-02-01,MITSUBISHI,8362,12559,4349
2024-02-01,SUZUKI,5760,5748,2999
2024-02-01,TOYOTA,22142,41531,10769
2024-03-01,DAIHATSU,17352,16538,6590
2024-03-01,HONDA,10706,7757,5212
2024-03-01,MITSUBISHI,9164,8296,4708
2024-03-01,SUZUKI,6550,5987,3503
2024-03-01,TOYOTA,26142,36117,12300
2024-04-01,DAIHATSU,12419,9469,7510
2024-04-01,HONDA,6507,5248,3435
2024-04-01,MITSUBISHI,7037,9547,4898
2024-04-01,SUZUKI,5004,5117,2555
2024-04-01,TOYOTA,19577,31506,9115
2024-05-01,DAIHATSU,14747,14972,9336
2024-05-01,HONDA,7805,7459,5055
2024-05-01,MITSUBISHI,8142,12387,5522
2024-05-01,SUZUKI,6110,6050,2736
2024-05-01,TOYOTA,24074,43676,9469
2024-06-01,DAIHATSU,13065,14969,7716
2024-06-01,HONDA,7625,6839,2875
2024-06-01,MITSUBISHI,8792,12630,4931
2024-06-01,SUZUKI,5017,6092,2198
2024-06-01,TOYOTA,23987,40813,10806
2024-07-01,DAIHATSU,13845,14035,7908
2024-07-01,HONDA,7709,8940,3703
2024-07-01,MITSUBISHI,8522,14758,5335
2024-07-01,SUZUKI,5476,6668,2557
2024-07-01,TOYOTA,25815,47992,13466
2024-08-01,DAIHATSU,14135,14067,7984
2024-08-01,HONDA,8515,8323,3574
2024-08-01,MITSUBISHI,8413,15094,6498
2024-08-01,SUZUKI,5403,7386,2582
2024-08-01,TOYOTA,25624,47356,11039
2024-09-01,DAIHATSU,12490,12731,7940
2024-09-01,HONDA,7609,8101,4418
2024-09-01,MITSUBISHI,8329,16833,6685
2024-09-01,SUZUKI,5119,6025,2677
2024-09-01,TOYOTA,25561,44005,9910
2024-10-01,DAIHATSU,13101,14140,7209
2024-10-01,HONDA,8048,9995,4317
2024-10-01,MITSUBISHI,8125,16973,6064
2024-10-01,SUZUKI,5330,6434,2773
2024-10-01,TOYOTA,24820,47750,10016
2024-11-01,DAIHATSU,12113,10041,7145
2024-11-01,HONDA,8765,8194,2824
2024-11-01,MITSUBISHI,8462,14536,6494
2024-11-01,SUZUKI,6240,5797,2943
2024-11-01,TOYOTA,25860,46317,11402
2024-12-01,DAIHATSU,13201,13066,7221
2024-12-01,HONDA,10696,7946,1831
2024-12-01,MITSUBISHI,9721,14381,5499
2024-12-01,SUZUKI,6880,5238,3820
2024-12-01,TOYOTA,25500,44553,11571
2025-01-01,DAIHATSU,11305,9983,5755
2025-01-01,HONDA,8757,6075,3932
2025-01-01,MITSUBISHI,6479,13374,5916
2025-01-01,SUZUKI,4525,5749,3370
2025-01-01,TOYOTA,21553,45837,14234
2025-02-01,DAIHATSU,12501,11952,7126
2025-02-01,HONDA,7754,5917,3757
2025-02-01,MITSUBISHI,8323,19166,7707
2025-02-01,SUZUKI,5068,5129,3047
2025-02-01,TOYOTA,22222,41993,16224
2025-03-01,DAIHATSU,13111,13048,6371
2025-03-01,HONDA,8165,6351,2380
2025-03-01,MITSUBISHI,8301,14358,7380
2025-03-01,SUZUKI,5006,5759,3223
2025-03-01,TOYOTA,24514,40445,13709
2025-04-01,DAIHATSU,9801,8864,6075
2025-04-01,HONDA,4539,2308,1588
2025-04-01,MITSUBISHI,5960,11193,5197
2025-04-01,SUZUKI,4077,6382,2767
2025-04-01,TOYOTA,18619,36939,13779
2025-05-01,DAIHATSU,9997,11146,7537
2025-05-01,HONDA,4740,3940,3148
2025-05-01,MITSUBISHI,7396,15187,5897
2025-05-01,SUZUKI,4523,6494,2004
2025-05-01,TOYOTA,20161,39628,9312
2025-06-01,DAIHATSU,10001,9336,5992
2025-06-01,HONDA,5238,5274,2360
2025-06-01,MITSUBISHI,7626,16120,6501
2025-06-01,SUZUKI,4570,6665,3499
2025-06-01,TOYOTA,19824,40341,8712
2025-07-01,DAIHATSU,11220,10433,6353
2025-07-01,HONDA,5003,5140,4170
2025-07-01,MITSUBISHI,6811,17052,6121
2025-07-01,SUZUKI,5504,9039,2666
2025-07-01,TOYOTA,20185,48315,7616
